## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
01 00000007ff000000 --  1    28    0a
01 00000007ff800000 --  1    29    0b
01 00000007ffc00000 --  1    2a    0c
01 00000007ffe00000 --  1    2b    0d
01 00000007fff00000 --  1    2c    0e
01 00000007fff80000 --  1    2d    0f
01 00000007fffc0000 --  1    2e    10
01 00000007fffe0000 --  1    2f    11
01 00000007ffff0000 --  1    30    12
01 00000007ffff8000 --  1    31    13
01 00000007ffffc000 --  1    32    14
01 00000007ffffe000 --  1    33    15
01 00000007fffff000 --  1    34    16
01 00000007fffff800 --  1    35    17
01 00000007fffffc00 --  1    36    18
01 00000007fffffe00 --  1    37    19
01 00000007ffffff00 --  1    38    1a
01 00000007ffffff80 --  1    39    1b
01 00000007ffffffc0 --  1    3a    1c
01 00000007ffffffe0 --  1    3b    1d
01 00000007fffffff0 --  1    3c    1e
01 00000007fffffff8 --  1    3d    1f
01 00000007fffffffc --  1    3e    20
01 00000007fffffffe --  1    3f    21
01 00000007ffffffff --  1    00    22
01 0000000800000000 --  1    1d    00
02 0000000800000008 --  0    1d    00
02 0000000800000008 --  0    3d    00
01 0000000c00000000 --  1    1e    01
02 0000000c0000000c --  0    1e    01
02 0000000c0000000c --  0    3e    01
01 0000000e00000000 --  1    1f    02
02 0000000e0000000e --  0    1f    02
02 0000000e0000000e --  0    3f    02
01 0000000f00000000 --  1    20    03
02 0000000f0000000f --  0    00    03
02 0000000f0000000f --  0    20    03
01 0000000f80000000 --  1    21    04
01 0000000fc0000000 --  1    22    05
01 0000000fe0000000 --  1    23    06
01 0000000ff0000000 --  1    24    07
01 0000000ff8000000 --  1    25    08
01 0000000ffc000000 --  1    26    09
01 0000000ffe000000 --  1    27    0a
01 0000000fff000000 --  1    28    0b
01 0000000fff800000 --  1    29    0c
01 0000000fffc00000 --  1    2a    0d
01 0000000fffe00000 --  1    2b    0e
01 0000000ffff00000 --  1    2c    0f
01 0000000ffff80000 --  1    2d    10
01 0000000ffffc0000 --  1    2e    11
01 0000000ffffe0000 --  1    2f    12
01 0000000fffff0000 --  1    30    13
01 0000000fffff8000 --  1    31    14
01 0000000fffffc000 --  1    32    15
