## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
02 ffff07ffffff07ff --  0    10    1a
02 ffff07ffffff07ff --  0    30    1a
01 ffff07ffffffffff --  1    10    3a
02 ffff0fffffff0fff --  0    10    1b
02 ffff0fffffff0fff --  0    30    1b
01 ffff0fffffffffff --  1    10    3b
02 ffff1fffffff1fff --  0    10    1c
02 ffff1fffffff1fff --  0    30    1c
01 ffff1fffffffffff --  1    10    3c
02 ffff3fffffff3fff --  0    10    1d
02 ffff3fffffff3fff --  0    30    1d
01 ffff3fffffffffff --  1    10    3d
02 ffff7fffffff7fff --  0    10    1e
02 ffff7fffffff7fff --  0    30    1e
01 ffff7fffffffffff --  1    10    3e
01 ffff800000000000 --  1    11    10
01 ffff800000000001 --  1    11    11
01 ffff800000000003 --  1    11    12
01 ffff800000000007 --  1    11    13
01 ffff80000000000f --  1    11    14
01 ffff80000000001f --  1    11    15
01 ffff80000000003f --  1    11    16
01 ffff80000000007f --  1    11    17
01 ffff8000000000ff --  1    11    18
01 ffff8000000001ff --  1    11    19
01 ffff8000000003ff --  1    11    1a
01 ffff8000000007ff --  1    11    1b
01 ffff800000000fff --  1    11    1c
01 ffff800000001fff --  1    11    1d
01 ffff800000003fff --  1    11    1e
01 ffff800000007fff --  1    11    1f
01 ffff80000000ffff --  1    11    20
01 ffff80000001ffff --  1    11    21
01 ffff80000003ffff --  1    11    22
01 ffff80000007ffff --  1    11    23
01 ffff8000000fffff --  1    11    24
01 ffff8000001fffff --  1    11    25
01 ffff8000003fffff --  1    11    26
01 ffff8000007fffff --  1    11    27
01 ffff800000ffffff --  1    11    28
01 ffff800001ffffff --  1    11    29
01 ffff800003ffffff --  1    11    2a
01 ffff800007ffffff --  1    11    2b
01 ffff80000fffffff --  1    11    2c
01 ffff80001fffffff --  1    11    2d
01 ffff80003fffffff --  1    11    2e
01 ffff80007fffffff --  1    11    2f
02 ffff8000ffff8000 --  0    11    10
02 ffff8000ffff8000 --  0    31    10
01 ffff8000ffffffff --  1    11    30
02 ffff8001ffff8001 --  0    11    11
02 ffff8001ffff8001 --  0    31    11
01 ffff8001ffffffff --  1    11    31
02 ffff8003ffff8003 --  0    11    12
02 ffff8003ffff8003 --  0    31    12
01 ffff8003ffffffff --  1    11    32
02 ffff8007ffff8007 --  0    11    13
02 ffff8007ffff8007 --  0    31    13
01 ffff8007ffffffff --  1    11    33
02 ffff800fffff800f --  0    11    14
02 ffff800fffff800f --  0    31    14
01 ffff800fffffffff --  1    11    34
02 ffff801fffff801f --  0    11    15
02 ffff801fffff801f --  0    31    15
01 ffff801fffffffff --  1    11    35
02 ffff803fffff803f --  0    11    16
02 ffff803fffff803f --  0    31    16
01 ffff803fffffffff --  1    11    36
02 ffff807fffff807f --  0    11    17
02 ffff807fffff807f --  0    31    17
01 ffff807fffffffff --  1    11    37
02 ffff80ffffff80ff --  0    11    18
02 ffff80ffffff80ff --  0    31    18
01 ffff80ffffffffff --  1    11    38
02 ffff81ffffff81ff --  0    11    19
02 ffff81ffffff81ff --  0    31    19
01 ffff81ffffffffff --  1    11    39
02 ffff83ffffff83ff --  0    11    1a
02 ffff83ffffff83ff --  0    31    1a
01 ffff83ffffffffff --  1    11    3a
02 ffff87ffffff87ff --  0    11    1b
02 ffff87ffffff87ff --  0    31    1b
01 ffff87ffffffffff --  1    11    3b
02 ffff8fffffff8fff --  0    11    1c
02 ffff8fffffff8fff --  0    31    1c
01 ffff8fffffffffff --  1    11    3c
02 ffff9fffffff9fff --  0    11    1d
02 ffff9fffffff9fff --  0    31    1d
01 ffff9fffffffffff --  1    11    3d
02 ffffbfffffffbfff --  0    11    1e
02 ffffbfffffffbfff --  0    31    1e
01 ffffbfffffffffff --  1    11    3e
01 ffffc00000000000 --  1    12    11
01 ffffc00000000001 --  1    12    12
01 ffffc00000000003 --  1    12    13
01 ffffc00000000007 --  1    12    14
01 ffffc0000000000f --  1    12    15
01 ffffc0000000001f --  1    12    16
01 ffffc0000000003f --  1    12    17
01 ffffc0000000007f --  1    12    18
01 ffffc000000000ff --  1    12    19
01 ffffc000000001ff --  1    12    1a
01 ffffc000000003ff --  1    12    1b
01 ffffc000000007ff --  1    12    1c
01 ffffc00000000fff --  1    12    1d
01 ffffc00000001fff --  1    12    1e
01 ffffc00000003fff --  1    12    1f
01 ffffc00000007fff --  1    12    20
01 ffffc0000000ffff --  1    12    21
01 ffffc0000001ffff --  1    12    22
01 ffffc0000003ffff --  1    12    23
01 ffffc0000007ffff --  1    12    24
01 ffffc000000fffff --  1    12    25
01 ffffc000001fffff --  1    12    26
01 ffffc000003fffff --  1    12    27
01 ffffc000007fffff --  1    12    28
01 ffffc00000ffffff --  1    12    29
01 ffffc00001ffffff --  1    12    2a
01 ffffc00003ffffff --  1    12    2b
01 ffffc00007ffffff --  1    12    2c
01 ffffc0000fffffff --  1    12    2d
01 ffffc0001fffffff --  1    12    2e
01 ffffc0003fffffff --  1    12    2f
01 ffffc0007fffffff --  1    12    30
02 ffffc000ffffc000 --  0    12    11
02 ffffc000ffffc000 --  0    32    11
01 ffffc000ffffffff --  1    12    31
02 ffffc001ffffc001 --  0    12    12
02 ffffc001ffffc001 --  0    32    12
01 ffffc001ffffffff --  1    12    32
02 ffffc003ffffc003 --  0    12    13
02 ffffc003ffffc003 --  0    32    13
01 ffffc003ffffffff --  1    12    33
02 ffffc007ffffc007 --  0    12    14
02 ffffc007ffffc007 --  0    32    14
01 ffffc007ffffffff --  1    12    34
02 ffffc00fffffc00f --  0    12    15
02 ffffc00fffffc00f --  0    32    15
01 ffffc00fffffffff --  1    12    35
02 ffffc01fffffc01f --  0    12    16
02 ffffc01fffffc01f --  0    32    16
01 ffffc01fffffffff --  1    12    36
02 ffffc03fffffc03f --  0    12    17
02 ffffc03fffffc03f --  0    32    17
01 ffffc03fffffffff --  1    12    37
02 ffffc07fffffc07f --  0    12    18
02 ffffc07fffffc07f --  0    32    18
01 ffffc07fffffffff --  1    12    38
02 ffffc0ffffffc0ff --  0    12    19
02 ffffc0ffffffc0ff --  0    32    19
01 ffffc0ffffffffff --  1    12    39
02 ffffc1ffffffc1ff --  0    12    1a
02 ffffc1ffffffc1ff --  0    32    1a
01 ffffc1ffffffffff --  1    12    3a
02 ffffc3ffffffc3ff --  0    12    1b
02 ffffc3ffffffc3ff --  0    32    1b
01 ffffc3ffffffffff --  1    12    3b
02 ffffc7ffffffc7ff --  0    12    1c
02 ffffc7ffffffc7ff --  0    32    1c
01 ffffc7ffffffffff --  1    12    3c
02 ffffcfffffffcfff --  0    12    1d
02 ffffcfffffffcfff --  0    32    1d
01 ffffcfffffffffff --  1    12    3d
02 ffffdfffffffdfff --  0    12    1e
02 ffffdfffffffdfff --  0    32    1e
01 ffffdfffffffffff --  1    12    3e
01 ffffe00000000000 --  1    13    12
01 ffffe00000000001 --  1    13    13
01 ffffe00000000003 --  1    13    14
01 ffffe00000000007 --  1    13    15
01 ffffe0000000000f --  1    13    16
01 ffffe0000000001f --  1    13    17
01 ffffe0000000003f --  1    13    18
01 ffffe0000000007f --  1    13    19
01 ffffe000000000ff --  1    13    1a
01 ffffe000000001ff --  1    13    1b
01 ffffe000000003ff --  1    13    1c
01 ffffe000000007ff --  1    13    1d
01 ffffe00000000fff --  1    13    1e
01 ffffe00000001fff --  1    13    1f
01 ffffe00000003fff --  1    13    20
01 ffffe00000007fff --  1    13    21
01 ffffe0000000ffff --  1    13    22
01 ffffe0000001ffff --  1    13    23
01 ffffe0000003ffff --  1    13    24
01 ffffe0000007ffff --  1    13    25
01 ffffe000000fffff --  1    13    26
01 ffffe000001fffff --  1    13    27
01 ffffe000003fffff --  1    13    28
01 ffffe000007fffff --  1    13    29
01 ffffe00000ffffff --  1    13    2a
01 ffffe00001ffffff --  1    13    2b
01 ffffe00003ffffff --  1    13    2c
01 ffffe00007ffffff --  1    13    2d
01 ffffe0000fffffff --  1    13    2e
01 ffffe0001fffffff --  1    13    2f
01 ffffe0003fffffff --  1    13    30
01 ffffe0007fffffff --  1    13    31
02 ffffe000ffffe000 --  0    13    12
02 ffffe000ffffe000 --  0    33    12
01 ffffe000ffffffff --  1    13    32
02 ffffe001ffffe001 --  0    13    13
02 ffffe001ffffe001 --  0    33    13
01 ffffe001ffffffff --  1    13    33
02 ffffe003ffffe003 --  0    13    14
02 ffffe003ffffe003 --  0    33    14
01 ffffe003ffffffff --  1    13    34
02 ffffe007ffffe007 --  0    13    15
02 ffffe007ffffe007 --  0    33    15
01 ffffe007ffffffff --  1    13    35
02 ffffe00fffffe00f --  0    13    16
02 ffffe00fffffe00f --  0    33    16
01 ffffe00fffffffff --  1    13    36
02 ffffe01fffffe01f --  0    13    17
02 ffffe01fffffe01f --  0    33    17
01 ffffe01fffffffff --  1    13    37
02 ffffe03fffffe03f --  0    13    18
02 ffffe03fffffe03f --  0    33    18
01 ffffe03fffffffff --  1    13    38
02 ffffe07fffffe07f --  0    13    19
02 ffffe07fffffe07f --  0    33    19
01 ffffe07fffffffff --  1    13    39
02 ffffe0ffffffe0ff --  0    13    1a
02 ffffe0ffffffe0ff --  0    33    1a
01 ffffe0ffffffffff --  1    13    3a
02 ffffe1ffffffe1ff --  0    13    1b
02 ffffe1ffffffe1ff --  0    33    1b
01 ffffe1ffffffffff --  1    13    3b
02 ffffe3ffffffe3ff --  0    13    1c
02 ffffe3ffffffe3ff --  0    33    1c
01 ffffe3ffffffffff --  1    13    3c
02 ffffe7ffffffe7ff --  0    13    1d
02 ffffe7ffffffe7ff --  0    33    1d
01 ffffe7ffffffffff --  1    13    3d
02 ffffefffffffefff --  0    13    1e
02 ffffefffffffefff --  0    33    1e
01 ffffefffffffffff --  1    13    3e
01 fffff00000000000 --  1    14    13
01 fffff00000000001 --  1    14    14
01 fffff00000000003 --  1    14    15
01 fffff00000000007 --  1    14    16
01 fffff0000000000f --  1    14    17
01 fffff0000000001f --  1    14    18
01 fffff0000000003f --  1    14    19
01 fffff0000000007f --  1    14    1a
01 fffff000000000ff --  1    14    1b
01 fffff000000001ff --  1    14    1c
01 fffff000000003ff --  1    14    1d
01 fffff000000007ff --  1    14    1e
01 fffff00000000fff --  1    14    1f
01 fffff00000001fff --  1    14    20
01 fffff00000003fff --  1    14    21
01 fffff00000007fff --  1    14    22
01 fffff0000000ffff --  1    14    23
01 fffff0000001ffff --  1    14    24
01 fffff0000003ffff --  1    14    25
01 fffff0000007ffff --  1    14    26
01 fffff000000fffff --  1    14    27
01 fffff000001fffff --  1    14    28
01 fffff000003fffff --  1    14    29
01 fffff000007fffff --  1    14    2a
01 fffff00000ffffff --  1    14    2b
01 fffff00001ffffff --  1    14    2c
01 fffff00003ffffff --  1    14    2d
01 fffff00007ffffff --  1    14    2e
01 fffff0000fffffff --  1    14    2f
01 fffff0001fffffff --  1    14    30
01 fffff0003fffffff --  1    14    31
01 fffff0007fffffff --  1    14    32
02 fffff000fffff000 --  0    14    13
02 fffff000fffff000 --  0    34    13
01 fffff000ffffffff --  1    14    33
02 fffff001fffff001 --  0    14    14
02 fffff001fffff001 --  0    34    14
01 fffff001ffffffff --  1    14    34
02 fffff003fffff003 --  0    14    15
02 fffff003fffff003 --  0    34    15
01 fffff003ffffffff --  1    14    35
02 fffff007fffff007 --  0    14    16
02 fffff007fffff007 --  0    34    16
01 fffff007ffffffff --  1    14    36
02 fffff00ffffff00f --  0    14    17
02 fffff00ffffff00f --  0    34    17
01 fffff00fffffffff --  1    14    37
02 fffff01ffffff01f --  0    14    18
02 fffff01ffffff01f --  0    34    18
01 fffff01fffffffff --  1    14    38
02 fffff03ffffff03f --  0    14    19
02 fffff03ffffff03f --  0    34    19
01 fffff03fffffffff --  1    14    39
02 fffff07ffffff07f --  0    14    1a
02 fffff07ffffff07f --  0    34    1a
01 fffff07fffffffff --  1    14    3a
02 fffff0fffffff0ff --  0    14    1b
02 fffff0fffffff0ff --  0    34    1b
01 fffff0ffffffffff --  1    14    3b
02 fffff1fffffff1ff --  0    14    1c
02 fffff1fffffff1ff --  0    34    1c
01 fffff1ffffffffff --  1    14    3c
02 fffff3fffffff3ff --  0    14    1d
02 fffff3fffffff3ff --  0    34    1d
01 fffff3ffffffffff --  1    14    3d
02 fffff7fffffff7ff --  0    14    1e
02 fffff7fffffff7ff --  0    34    1e
01 fffff7ffffffffff --  1    14    3e
01 fffff80000000000 --  1    15    14
01 fffff80000000001 --  1    15    15
01 fffff80000000003 --  1    15    16
01 fffff80000000007 --  1    15    17
01 fffff8000000000f --  1    15    18
01 fffff8000000001f --  1    15    19
01 fffff8000000003f --  1    15    1a
01 fffff8000000007f --  1    15    1b
01 fffff800000000ff --  1    15    1c
01 fffff800000001ff --  1    15    1d
01 fffff800000003ff --  1    15    1e
01 fffff800000007ff --  1    15    1f
01 fffff80000000fff --  1    15    20
01 fffff80000001fff --  1    15    21
01 fffff80000003fff --  1    15    22
01 fffff80000007fff --  1    15    23
01 fffff8000000ffff --  1    15    24
01 fffff8000001ffff --  1    15    25
01 fffff8000003ffff --  1    15    26
01 fffff8000007ffff --  1    15    27
01 fffff800000fffff --  1    15    28
01 fffff800001fffff --  1    15    29
01 fffff800003fffff --  1    15    2a
01 fffff800007fffff --  1    15    2b
01 fffff80000ffffff --  1    15    2c
01 fffff80001ffffff --  1    15    2d
01 fffff80003ffffff --  1    15    2e
01 fffff80007ffffff --  1    15    2f
01 fffff8000fffffff --  1    15    30
01 fffff8001fffffff --  1    15    31
01 fffff8003fffffff --  1    15    32
01 fffff8007fffffff --  1    15    33
02 fffff800fffff800 --  0    15    14
02 fffff800fffff800 --  0    35    14
01 fffff800ffffffff --  1    15    34
02 fffff801fffff801 --  0    15    15
02 fffff801fffff801 --  0    35    15
01 fffff801ffffffff --  1    15    35
02 fffff803fffff803 --  0    15    16
02 fffff803fffff803 --  0    35    16
01 fffff803ffffffff --  1    15    36
02 fffff807fffff807 --  0    15    17
02 fffff807fffff807 --  0    35    17
01 fffff807ffffffff --  1    15    37
02 fffff80ffffff80f --  0    15    18
02 fffff80ffffff80f --  0    35    18
01 fffff80fffffffff --  1    15    38
02 fffff81ffffff81f --  0    15    19
02 fffff81ffffff81f --  0    35    19
01 fffff81fffffffff --  1    15    39
02 fffff83ffffff83f --  0    15    1a
02 fffff83ffffff83f --  0    35    1a
01 fffff83fffffffff --  1    15    3a
02 fffff87ffffff87f --  0    15    1b
02 fffff87ffffff87f --  0    35    1b
01 fffff87fffffffff --  1    15    3b
02 fffff8fffffff8ff --  0    15    1c
02 fffff8fffffff8ff --  0    35    1c
01 fffff8ffffffffff --  1    15    3c
02 fffff9fffffff9ff --  0    15    1d
02 fffff9fffffff9ff --  0    35    1d
01 fffff9ffffffffff --  1    15    3d
02 fffffbfffffffbff --  0    15    1e
02 fffffbfffffffbff --  0    35    1e
01 fffffbffffffffff --  1    15    3e
01 fffffc0000000000 --  1    16    15
01 fffffc0000000001 --  1    16    16
01 fffffc0000000003 --  1    16    17
01 fffffc0000000007 --  1    16    18
01 fffffc000000000f --  1    16    19
01 fffffc000000001f --  1    16    1a
01 fffffc000000003f --  1    16    1b
01 fffffc000000007f --  1    16    1c
01 fffffc00000000ff --  1    16    1d
01 fffffc00000001ff --  1    16    1e
01 fffffc00000003ff --  1    16    1f
01 fffffc00000007ff --  1    16    20
01 fffffc0000000fff --  1    16    21
01 fffffc0000001fff --  1    16    22
01 fffffc0000003fff --  1    16    23
01 fffffc0000007fff --  1    16    24
01 fffffc000000ffff --  1    16    25
01 fffffc000001ffff --  1    16    26
01 fffffc000003ffff --  1    16    27
01 fffffc000007ffff --  1    16    28
01 fffffc00000fffff --  1    16    29
01 fffffc00001fffff --  1    16    2a
01 fffffc00003fffff --  1    16    2b
01 fffffc00007fffff --  1    16    2c
01 fffffc0000ffffff --  1    16    2d
01 fffffc0001ffffff --  1    16    2e
01 fffffc0003ffffff --  1    16    2f
01 fffffc0007ffffff --  1    16    30
01 fffffc000fffffff --  1    16    31
01 fffffc001fffffff --  1    16    32
01 fffffc003fffffff --  1    16    33
01 fffffc007fffffff --  1    16    34
02 fffffc00fffffc00 --  0    16    15
02 fffffc00fffffc00 --  0    36    15
01 fffffc00ffffffff --  1    16    35
02 fffffc01fffffc01 --  0    16    16
02 fffffc01fffffc01 --  0    36    16
01 fffffc01ffffffff --  1    16    36
02 fffffc03fffffc03 --  0    16    17
02 fffffc03fffffc03 --  0    36    17
01 fffffc03ffffffff --  1    16    37
02 fffffc07fffffc07 --  0    16    18
02 fffffc07fffffc07 --  0    36    18
01 fffffc07ffffffff --  1    16    38
02 fffffc0ffffffc0f --  0    16    19
02 fffffc0ffffffc0f --  0    36    19
01 fffffc0fffffffff --  1    16    39
02 fffffc1ffffffc1f --  0    16    1a
02 fffffc1ffffffc1f --  0    36    1a
01 fffffc1fffffffff --  1    16    3a
02 fffffc3ffffffc3f --  0    16    1b
02 fffffc3ffffffc3f --  0    36    1b
01 fffffc3fffffffff --  1    16    3b
02 fffffc7ffffffc7f --  0    16    1c
02 fffffc7ffffffc7f --  0    36    1c
01 fffffc7fffffffff --  1    16    3c
02 fffffcfffffffcff --  0    16    1d
02 fffffcfffffffcff --  0    36    1d
01 fffffcffffffffff --  1    16    3d
02 fffffdfffffffdff --  0    16    1e
02 fffffdfffffffdff --  0    36    1e
01 fffffdffffffffff --  1    16    3e
01 fffffe0000000000 --  1    17    16
01 fffffe0000000001 --  1    17    17
01 fffffe0000000003 --  1    17    18
01 fffffe0000000007 --  1    17    19
01 fffffe000000000f --  1    17    1a
01 fffffe000000001f --  1    17    1b
01 fffffe000000003f --  1    17    1c
01 fffffe000000007f --  1    17    1d
01 fffffe00000000ff --  1    17    1e
01 fffffe00000001ff --  1    17    1f
01 fffffe00000003ff --  1    17    20
01 fffffe00000007ff --  1    17    21
01 fffffe0000000fff --  1    17    22
01 fffffe0000001fff --  1    17    23
01 fffffe0000003fff --  1    17    24
01 fffffe0000007fff --  1    17    25
01 fffffe000000ffff --  1    17    26
01 fffffe000001ffff --  1    17    27
01 fffffe000003ffff --  1    17    28
01 fffffe000007ffff --  1    17    29
01 fffffe00000fffff --  1    17    2a
01 fffffe00001fffff --  1    17    2b
01 fffffe00003fffff --  1    17    2c
01 fffffe00007fffff --  1    17    2d
01 fffffe0000ffffff --  1    17    2e
01 fffffe0001ffffff --  1    17    2f
01 fffffe0003ffffff --  1    17    30
01 fffffe0007ffffff --  1    17    31
01 fffffe000fffffff --  1    17    32
01 fffffe001fffffff --  1    17    33
01 fffffe003fffffff --  1    17    34
01 fffffe007fffffff --  1    17    35
02 fffffe00fffffe00 --  0    17    16
02 fffffe00fffffe00 --  0    37    16
01 fffffe00ffffffff --  1    17    36
02 fffffe01fffffe01 --  0    17    17
02 fffffe01fffffe01 --  0    37    17
01 fffffe01ffffffff --  1    17    37
02 fffffe03fffffe03 --  0    17    18
02 fffffe03fffffe03 --  0    37    18
01 fffffe03ffffffff --  1    17    38
02 fffffe07fffffe07 --  0    17    19
02 fffffe07fffffe07 --  0    37    19
01 fffffe07ffffffff --  1    17    39
02 fffffe0ffffffe0f --  0    17    1a
02 fffffe0ffffffe0f --  0    37    1a
01 fffffe0fffffffff --  1    17    3a
02 fffffe1ffffffe1f --  0    17    1b
02 fffffe1ffffffe1f --  0    37    1b
01 fffffe1fffffffff --  1    17    3b
02 fffffe3ffffffe3f --  0    17    1c
02 fffffe3ffffffe3f --  0    37    1c
01 fffffe3fffffffff --  1    17    3c
02 fffffe7ffffffe7f --  0    17    1d
02 fffffe7ffffffe7f --  0    37    1d
01 fffffe7fffffffff --  1    17    3d
02 fffffefffffffeff --  0    17    1e
02 fffffefffffffeff --  0    37    1e
01 fffffeffffffffff --  1    17    3e
01 ffffff0000000000 --  1    18    17
01 ffffff0000000001 --  1    18    18
01 ffffff0000000003 --  1    18    19
01 ffffff0000000007 --  1    18    1a
01 ffffff000000000f --  1    18    1b
01 ffffff000000001f --  1    18    1c
01 ffffff000000003f --  1    18    1d
01 ffffff000000007f --  1    18    1e
01 ffffff00000000ff --  1    18    1f
01 ffffff00000001ff --  1    18    20
01 ffffff00000003ff --  1    18    21
01 ffffff00000007ff --  1    18    22
01 ffffff0000000fff --  1    18    23
01 ffffff0000001fff --  1    18    24
01 ffffff0000003fff --  1    18    25
01 ffffff0000007fff --  1    18    26
01 ffffff000000ffff --  1    18    27
01 ffffff000001ffff --  1    18    28
01 ffffff000003ffff --  1    18    29
01 ffffff000007ffff --  1    18    2a
01 ffffff00000fffff --  1    18    2b
01 ffffff00001fffff --  1    18    2c
01 ffffff00003fffff --  1    18    2d
01 ffffff00007fffff --  1    18    2e
01 ffffff0000ffffff --  1    18    2f
01 ffffff0001ffffff --  1    18    30
01 ffffff0003ffffff --  1    18    31
01 ffffff0007ffffff --  1    18    32
01 ffffff000fffffff --  1    18    33
01 ffffff001fffffff --  1    18    34
01 ffffff003fffffff --  1    18    35
01 ffffff007fffffff --  1    18    36
02 ffffff00ffffff00 --  0    18    17
02 ffffff00ffffff00 --  0    38    17
01 ffffff00ffffffff --  1    18    37
02 ffffff01ffffff01 --  0    18    18
02 ffffff01ffffff01 --  0    38    18
01 ffffff01ffffffff --  1    18    38
02 ffffff03ffffff03 --  0    18    19
02 ffffff03ffffff03 --  0    38    19
01 ffffff03ffffffff --  1    18    39
02 ffffff07ffffff07 --  0    18    1a
02 ffffff07ffffff07 --  0    38    1a
01 ffffff07ffffffff --  1    18    3a
02 ffffff0fffffff0f --  0    18    1b
02 ffffff0fffffff0f --  0    38    1b
01 ffffff0fffffffff --  1    18    3b
02 ffffff1fffffff1f --  0    18    1c
02 ffffff1fffffff1f --  0    38    1c
01 ffffff1fffffffff --  1    18    3c
02 ffffff3fffffff3f --  0    18    1d
02 ffffff3fffffff3f --  0    38    1d
01 ffffff3fffffffff --  1    18    3d
02 ffffff7fffffff7f --  0    18    1e
02 ffffff7fffffff7f --  0    38    1e
01 ffffff7fffffffff --  1    18    3e
01 ffffff8000000000 --  1    19    18
01 ffffff8000000001 --  1    19    19
01 ffffff8000000003 --  1    19    1a
01 ffffff8000000007 --  1    19    1b
01 ffffff800000000f --  1    19    1c
01 ffffff800000001f --  1    19    1d
01 ffffff800000003f --  1    19    1e
01 ffffff800000007f --  1    19    1f
01 ffffff80000000ff --  1    19    20
01 ffffff80000001ff --  1    19    21
01 ffffff80000003ff --  1    19    22
01 ffffff80000007ff --  1    19    23
01 ffffff8000000fff --  1    19    24
01 ffffff8000001fff --  1    19    25
01 ffffff8000003fff --  1    19    26
01 ffffff8000007fff --  1    19    27
01 ffffff800000ffff --  1    19    28
01 ffffff800001ffff --  1    19    29
01 ffffff800003ffff --  1    19    2a
01 ffffff800007ffff --  1    19    2b
01 ffffff80000fffff --  1    19    2c
01 ffffff80001fffff --  1    19    2d
01 ffffff80003fffff --  1    19    2e
01 ffffff80007fffff --  1    19    2f
01 ffffff8000ffffff --  1    19    30
01 ffffff8001ffffff --  1    19    31
01 ffffff8003ffffff --  1    19    32
01 ffffff8007ffffff --  1    19    33
01 ffffff800fffffff --  1    19    34
01 ffffff801fffffff --  1    19    35
01 ffffff803fffffff --  1    19    36
01 ffffff807fffffff --  1    19    37
02 ffffff80ffffff80 --  0    19    18
02 ffffff80ffffff80 --  0    39    18
01 ffffff80ffffffff --  1    19    38
02 ffffff81ffffff81 --  0    19    19
02 ffffff81ffffff81 --  0    39    19
01 ffffff81ffffffff --  1    19    39
02 ffffff83ffffff83 --  0    19    1a
02 ffffff83ffffff83 --  0    39    1a
01 ffffff83ffffffff --  1    19    3a
02 ffffff87ffffff87 --  0    19    1b
02 ffffff87ffffff87 --  0    39    1b
01 ffffff87ffffffff --  1    19    3b
02 ffffff8fffffff8f --  0    19    1c
02 ffffff8fffffff8f --  0    39    1c
01 ffffff8fffffffff --  1    19    3c
02 ffffff9fffffff9f --  0    19    1d
02 ffffff9fffffff9f --  0    39    1d
01 ffffff9fffffffff --  1    19    3d
02 ffffffbfffffffbf --  0    19    1e
02 ffffffbfffffffbf --  0    39    1e
01 ffffffbfffffffff --  1    19    3e
01 ffffffc000000000 --  1    1a    19
01 ffffffc000000001 --  1    1a    1a
01 ffffffc000000003 --  1    1a    1b
01 ffffffc000000007 --  1    1a    1c
01 ffffffc00000000f --  1    1a    1d
01 ffffffc00000001f --  1    1a    1e
01 ffffffc00000003f --  1    1a    1f
01 ffffffc00000007f --  1    1a    20
01 ffffffc0000000ff --  1    1a    21
01 ffffffc0000001ff --  1    1a    22
01 ffffffc0000003ff --  1    1a    23
01 ffffffc0000007ff --  1    1a    24
01 ffffffc000000fff --  1    1a    25
01 ffffffc000001fff --  1    1a    26
01 ffffffc000003fff --  1    1a    27
01 ffffffc000007fff --  1    1a    28
01 ffffffc00000ffff --  1    1a    29
01 ffffffc00001ffff --  1    1a    2a
01 ffffffc00003ffff --  1    1a    2b
01 ffffffc00007ffff --  1    1a    2c
01 ffffffc0000fffff --  1    1a    2d
01 ffffffc0001fffff --  1    1a    2e
01 ffffffc0003fffff --  1    1a    2f
01 ffffffc0007fffff --  1    1a    30
01 ffffffc000ffffff --  1    1a    31
01 ffffffc001ffffff --  1    1a    32
01 ffffffc003ffffff --  1    1a    33
01 ffffffc007ffffff --  1    1a    34
01 ffffffc00fffffff --  1    1a    35
01 ffffffc01fffffff --  1    1a    36
01 ffffffc03fffffff --  1    1a    37
01 ffffffc07fffffff --  1    1a    38
02 ffffffc0ffffffc0 --  0    1a    19
02 ffffffc0ffffffc0 --  0    3a    19
01 ffffffc0ffffffff --  1    1a    39
02 ffffffc1ffffffc1 --  0    1a    1a
02 ffffffc1ffffffc1 --  0    3a    1a
01 ffffffc1ffffffff --  1    1a    3a
02 ffffffc3ffffffc3 --  0    1a    1b
02 ffffffc3ffffffc3 --  0    3a    1b
01 ffffffc3ffffffff --  1    1a    3b
02 ffffffc7ffffffc7 --  0    1a    1c
02 ffffffc7ffffffc7 --  0    3a    1c
01 ffffffc7ffffffff --  1    1a    3c
02 ffffffcfffffffcf --  0    1a    1d
02 ffffffcfffffffcf --  0    3a    1d
01 ffffffcfffffffff --  1    1a    3d
02 ffffffdfffffffdf --  0    1a    1e
02 ffffffdfffffffdf --  0    3a    1e
01 ffffffdfffffffff --  1    1a    3e
01 ffffffe000000000 --  1    1b    1a
01 ffffffe000000001 --  1    1b    1b
01 ffffffe000000003 --  1    1b    1c
01 ffffffe000000007 --  1    1b    1d
01 ffffffe00000000f --  1    1b    1e
01 ffffffe00000001f --  1    1b    1f
01 ffffffe00000003f --  1    1b    20
01 ffffffe00000007f --  1    1b    21
01 ffffffe0000000ff --  1    1b    22
01 ffffffe0000001ff --  1    1b    23
01 ffffffe0000003ff --  1    1b    24
01 ffffffe0000007ff --  1    1b    25
01 ffffffe000000fff --  1    1b    26
01 ffffffe000001fff --  1    1b    27
01 ffffffe000003fff --  1    1b    28
01 ffffffe000007fff --  1    1b    29
01 ffffffe00000ffff --  1    1b    2a
01 ffffffe00001ffff --  1    1b    2b
01 ffffffe00003ffff --  1    1b    2c
01 ffffffe00007ffff --  1    1b    2d
01 ffffffe0000fffff --  1    1b    2e
01 ffffffe0001fffff --  1    1b    2f
01 ffffffe0003fffff --  1    1b    30
01 ffffffe0007fffff --  1    1b    31
01 ffffffe000ffffff --  1    1b    32
01 ffffffe001ffffff --  1    1b    33
01 ffffffe003ffffff --  1    1b    34
01 ffffffe007ffffff --  1    1b    35
01 ffffffe00fffffff --  1    1b    36
01 ffffffe01fffffff --  1    1b    37
01 ffffffe03fffffff --  1    1b    38
01 ffffffe07fffffff --  1    1b    39
02 ffffffe0ffffffe0 --  0    1b    1a
02 ffffffe0ffffffe0 --  0    3b    1a
01 ffffffe0ffffffff --  1    1b    3a
