Created Pattern  ##     N   immr  imms
7e7e7e7e7e7e7e7e 08 --  0    2f    35
7e7e7e7e7e7e7e7e 08 --  0    37    35
7e7e7e7e7e7e7e7e 08 --  0    3f    35
7f00000000000000 01 --  1    08    06
7f0000007f000000 02 --  0    08    06
7f0000007f000000 02 --  0    28    06
7f007f007f007f00 04 --  0    08    26
7f007f007f007f00 04 --  0    18    26
7f007f007f007f00 04 --  0    28    26
7f007f007f007f00 04 --  0    38    26
7f7f7f7f7f7f7f7f 08 --  0    00    36
7f7f7f7f7f7f7f7f 08 --  0    08    36
7f7f7f7f7f7f7f7f 08 --  0    10    36
7f7f7f7f7f7f7f7f 08 --  0    18    36
7f7f7f7f7f7f7f7f 08 --  0    20    36
7f7f7f7f7f7f7f7f 08 --  0    28    36
7f7f7f7f7f7f7f7f 08 --  0    30    36
7f7f7f7f7f7f7f7f 08 --  0    38    36
7f80000000000000 01 --  1    09    07
7f8000007f800000 02 --  0    09    07
7f8000007f800000 02 --  0    29    07
7f807f807f807f80 04 --  0    09    27
7f807f807f807f80 04 --  0    19    27
7f807f807f807f80 04 --  0    29    27
7f807f807f807f80 04 --  0    39    27
7fc0000000000000 01 --  1    0a    08
7fc000007fc00000 02 --  0    0a    08
7fc000007fc00000 02 --  0    2a    08
7fc07fc07fc07fc0 04 --  0    0a    28
7fc07fc07fc07fc0 04 --  0    1a    28
7fc07fc07fc07fc0 04 --  0    2a    28
7fc07fc07fc07fc0 04 --  0    3a    28
7fe0000000000000 01 --  1    0b    09
7fe000007fe00000 02 --  0    0b    09
7fe000007fe00000 02 --  0    2b    09
7fe07fe07fe07fe0 04 --  0    0b    29
7fe07fe07fe07fe0 04 --  0    1b    29
7fe07fe07fe07fe0 04 --  0    2b    29
7fe07fe07fe07fe0 04 --  0    3b    29
7ff0000000000000 01 --  1    0c    0a
7ff000007ff00000 02 --  0    0c    0a
7ff000007ff00000 02 --  0    2c    0a
7ff07ff07ff07ff0 04 --  0    0c    2a
7ff07ff07ff07ff0 04 --  0    1c    2a
7ff07ff07ff07ff0 04 --  0    2c    2a
7ff07ff07ff07ff0 04 --  0    3c    2a
7ff8000000000000 01 --  1    0d    0b
7ff800007ff80000 02 --  0    0d    0b
7ff800007ff80000 02 --  0    2d    0b
7ff87ff87ff87ff8 04 --  0    0d    2b
7ff87ff87ff87ff8 04 --  0    1d    2b
7ff87ff87ff87ff8 04 --  0    2d    2b
7ff87ff87ff87ff8 04 --  0    3d    2b
7ffc000000000000 01 --  1    0e    0c
7ffc00007ffc0000 02 --  0    0e    0c
7ffc00007ffc0000 02 --  0    2e    0c
7ffc7ffc7ffc7ffc 04 --  0    0e    2c
7ffc7ffc7ffc7ffc 04 --  0    1e    2c
7ffc7ffc7ffc7ffc 04 --  0    2e    2c
7ffc7ffc7ffc7ffc 04 --  0    3e    2c
7ffe000000000000 01 --  1    0f    0d
7ffe00007ffe0000 02 --  0    0f    0d
7ffe00007ffe0000 02 --  0    2f    0d
7ffe7ffe7ffe7ffe 04 --  0    0f    2d
7ffe7ffe7ffe7ffe 04 --  0    1f    2d
7ffe7ffe7ffe7ffe 04 --  0    2f    2d
7ffe7ffe7ffe7ffe 04 --  0    3f    2d
7fff000000000000 01 --  1    10    0e
7fff00007fff0000 02 --  0    10    0e
7fff00007fff0000 02 --  0    30    0e
7fff7fff7fff7fff 04 --  0    00    2e
7fff7fff7fff7fff 04 --  0    10    2e
7fff7fff7fff7fff 04 --  0    20    2e
7fff7fff7fff7fff 04 --  0    30    2e
7fff800000000000 01 --  1    11    0f
7fff80007fff8000 02 --  0    11    0f
7fff80007fff8000 02 --  0    31    0f
7fffc00000000000 01 --  1    12    10
7fffc0007fffc000 02 --  0    12    10
7fffc0007fffc000 02 --  0    32    10
7fffe00000000000 01 --  1    13    11
7fffe0007fffe000 02 --  0    13    11
7fffe0007fffe000 02 --  0    33    11
7ffff00000000000 01 --  1    14    12
7ffff0007ffff000 02 --  0    14    12
7ffff0007ffff000 02 --  0    34    12
7ffff80000000000 01 --  1    15    13
7ffff8007ffff800 02 --  0    15    13
7ffff8007ffff800 02 --  0    35    13
7ffffc0000000000 01 --  1    16    14
7ffffc007ffffc00 02 --  0    16    14
7ffffc007ffffc00 02 --  0    36    14
7ffffe0000000000 01 --  1    17    15
7ffffe007ffffe00 02 --  0    17    15
7ffffe007ffffe00 02 --  0    37    15
7fffff0000000000 01 --  1    18    16
7fffff007fffff00 02 --  0    18    16
7fffff007fffff00 02 --  0    38    16
7fffff8000000000 01 --  1    19    17
7fffff807fffff80 02 --  0    19    17
7fffff807fffff80 02 --  0    39    17
7fffffc000000000 01 --  1    1a    18
7fffffc07fffffc0 02 --  0    1a    18
7fffffc07fffffc0 02 --  0    3a    18
7fffffe000000000 01 --  1    1b    19
7fffffe07fffffe0 02 --  0    1b    19
7fffffe07fffffe0 02 --  0    3b    19
7ffffff000000000 01 --  1    1c    1a
7ffffff07ffffff0 02 --  0    1c    1a
7ffffff07ffffff0 02 --  0    3c    1a
7ffffff800000000 01 --  1    1d    1b
7ffffff87ffffff8 02 --  0    1d    1b
7ffffff87ffffff8 02 --  0    3d    1b
7ffffffc00000000 01 --  1    1e    1c
7ffffffc7ffffffc 02 --  0    1e    1c
7ffffffc7ffffffc 02 --  0    3e    1c
7ffffffe00000000 01 --  1    1f    1d
7ffffffe7ffffffe 02 --  0    1f    1d
7ffffffe7ffffffe 02 --  0    3f    1d
7fffffff00000000 01 --  1    20    1e
7fffffff7fffffff 02 --  0    00    1e
7fffffff7fffffff 02 --  0    20    1e
7fffffff80000000 01 --  1    21    1f
7fffffffc0000000 01 --  1    22    20
7fffffffe0000000 01 --  1    23    21
7ffffffff0000000 01 --  1    24    22
7ffffffff8000000 01 --  1    25    23
7ffffffffc000000 01 --  1    26    24
7ffffffffe000000 01 --  1    27    25
7fffffffff000000 01 --  1    28    26
7fffffffff800000 01 --  1    29    27
7fffffffffc00000 01 --  1    2a    28
7fffffffffe00000 01 --  1    2b    29
7ffffffffff00000 01 --  1    2c    2a
7ffffffffff80000 01 --  1    2d    2b
7ffffffffffc0000 01 --  1    2e    2c
7ffffffffffe0000 01 --  1    2f    2d
7fffffffffff0000 01 --  1    30    2e
7fffffffffff8000 01 --  1    31    2f
7fffffffffffc000 01 --  1    32    30
7fffffffffffe000 01 --  1    33    31
7ffffffffffff000 01 --  1    34    32
7ffffffffffff800 01 --  1    35    33
7ffffffffffffc00 01 --  1    36    34
7ffffffffffffe00 01 --  1    37    35
7fffffffffffff00 01 --  1    38    36
7fffffffffffff80 01 --  1    39    37
7fffffffffffffc0 01 --  1    3a    38
7fffffffffffffe0 01 --  1    3b    39
7ffffffffffffff0 01 --  1    3c    3a
7ffffffffffffff8 01 --  1    3d    3b
7ffffffffffffffc 01 --  1    3e    3c
7ffffffffffffffe 01 --  1    3f    3d
7fffffffffffffff 01 --  1    00    3e
8000000000000000 01 --  1    01    00
8000000000000001 01 --  1    01    01
8000000000000003 01 --  1    01    02
8000000000000007 01 --  1    01    03
800000000000000f 01 --  1    01    04
800000000000001f 01 --  1    01    05
800000000000003f 01 --  1    01    06
800000000000007f 01 --  1    01    07
80000000000000ff 01 --  1    01    08
80000000000001ff 01 --  1    01    09
80000000000003ff 01 --  1    01    0a
80000000000007ff 01 --  1    01    0b
8000000000000fff 01 --  1    01    0c
8000000000001fff 01 --  1    01    0d
8000000000003fff 01 --  1    01    0e
8000000000007fff 01 --  1    01    0f
800000000000ffff 01 --  1    01    10
800000000001ffff 01 --  1    01    11
800000000003ffff 01 --  1    01    12
800000000007ffff 01 --  1    01    13
80000000000fffff 01 --  1    01    14
80000000001fffff 01 --  1    01    15
80000000003fffff 01 --  1    01    16
80000000007fffff 01 --  1    01    17
8000000000ffffff 01 --  1    01    18
8000000001ffffff 01 --  1    01    19
8000000003ffffff 01 --  1    01    1a
8000000007ffffff 01 --  1    01    1b
800000000fffffff 01 --  1    01    1c
800000001fffffff 01 --  1    01    1d
800000003fffffff 01 --  1    01    1e
800000007fffffff 01 --  1    01    1f
8000000080000000 02 --  0    01    00
8000000080000000 02 --  0    21    00
80000000ffffffff 01 --  1    01    20
8000000180000001 02 --  0    01    01
8000000180000001 02 --  0    21    01
80000001ffffffff 01 --  1    01    21
8000000380000003 02 --  0    01    02
8000000380000003 02 --  0    21    02
80000003ffffffff 01 --  1    01    22
8000000780000007 02 --  0    01    03
8000000780000007 02 --  0    21    03
80000007ffffffff 01 --  1    01    23
8000000f8000000f 02 --  0    01    04
8000000f8000000f 02 --  0    21    04
8000000fffffffff 01 --  1    01    24
8000001f8000001f 02 --  0    01    05
8000001f8000001f 02 --  0    21    05
8000001fffffffff 01 --  1    01    25
8000003f8000003f 02 --  0    01    06
8000003f8000003f 02 --  0    21    06
8000003fffffffff 01 --  1    01    26
8000007f8000007f 02 --  0    01    07
8000007f8000007f 02 --  0    21    07
8000007fffffffff 01 --  1    01    27
800000ff800000ff 02 --  0    01    08
800000ff800000ff 02 --  0    21    08
800000ffffffffff 01 --  1    01    28
800001ff800001ff 02 --  0    01    09
800001ff800001ff 02 --  0    21    09
800001ffffffffff 01 --  1    01    29
800003ff800003ff 02 --  0    01    0a
800003ff800003ff 02 --  0    21    0a
800003ffffffffff 01 --  1    01    2a
800007ff800007ff 02 --  0    01    0b
800007ff800007ff 02 --  0    21    0b
800007ffffffffff 01 --  1    01    2b
80000fff80000fff 02 --  0    01    0c
80000fff80000fff 02 --  0    21    0c
80000fffffffffff 01 --  1    01    2c
80001fff80001fff 02 --  0    01    0d
80001fff80001fff 02 --  0    21    0d
80001fffffffffff 01 --  1    01    2d
80003fff80003fff 02 --  0    01    0e
80003fff80003fff 02 --  0    21    0e
80003fffffffffff 01 --  1    01    2e
80007fff80007fff 02 --  0    01    0f
80007fff80007fff 02 --  0    21    0f
80007fffffffffff 01 --  1    01    2f
8000800080008000 04 --  0    01    20
8000800080008000 04 --  0    11    20
8000800080008000 04 --  0    21    20
8000800080008000 04 --  0    31    20
8000ffff8000ffff 02 --  0    01    10
8000ffff8000ffff 02 --  0    21    10
8000ffffffffffff 01 --  1    01    30
8001800180018001 04 --  0    01    21
8001800180018001 04 --  0    11    21
8001800180018001 04 --  0    21    21
8001800180018001 04 --  0    31    21
8001ffff8001ffff 02 --  0    01    11
8001ffff8001ffff 02 --  0    21    11
8001ffffffffffff 01 --  1    01    31
8003800380038003 04 --  0    01    22
8003800380038003 04 --  0    11    22
8003800380038003 04 --  0    21    22
8003800380038003 04 --  0    31    22
8003ffff8003ffff 02 --  0    01    12
8003ffff8003ffff 02 --  0    21    12
8003ffffffffffff 01 --  1    01    32
8007800780078007 04 --  0    01    23
8007800780078007 04 --  0    11    23
8007800780078007 04 --  0    21    23
8007800780078007 04 --  0    31    23
8007ffff8007ffff 02 --  0    01    13
8007ffff8007ffff 02 --  0    21    13
8007ffffffffffff 01 --  1    01    33
800f800f800f800f 04 --  0    01    24
800f800f800f800f 04 --  0    11    24
800f800f800f800f 04 --  0    21    24
800f800f800f800f 04 --  0    31    24
800fffff800fffff 02 --  0    01    14
800fffff800fffff 02 --  0    21    14
800fffffffffffff 01 --  1    01    34
801f801f801f801f 04 --  0    01    25
801f801f801f801f 04 --  0    11    25
801f801f801f801f 04 --  0    21    25
801f801f801f801f 04 --  0    31    25
801fffff801fffff 02 --  0    01    15
801fffff801fffff 02 --  0    21    15
801fffffffffffff 01 --  1    01    35
803f803f803f803f 04 --  0    01    26
803f803f803f803f 04 --  0    11    26
803f803f803f803f 04 --  0    21    26
803f803f803f803f 04 --  0    31    26
803fffff803fffff 02 --  0    01    16
803fffff803fffff 02 --  0    21    16
803fffffffffffff 01 --  1    01    36
807f807f807f807f 04 --  0    01    27
807f807f807f807f 04 --  0    11    27
807f807f807f807f 04 --  0    21    27
807f807f807f807f 04 --  0    31    27
807fffff807fffff 02 --  0    01    17
807fffff807fffff 02 --  0    21    17
807fffffffffffff 01 --  1    01    37
8080808080808080 08 --  0    01    30
8080808080808080 08 --  0    09    30
8080808080808080 08 --  0    11    30
8080808080808080 08 --  0    19    30
8080808080808080 08 --  0    21    30
8080808080808080 08 --  0    29    30
8080808080808080 08 --  0    31    30
8080808080808080 08 --  0    39    30
80ff80ff80ff80ff 04 --  0    01    28
80ff80ff80ff80ff 04 --  0    11    28
80ff80ff80ff80ff 04 --  0    21    28
80ff80ff80ff80ff 04 --  0    31    28
80ffffff80ffffff 02 --  0    01    18
80ffffff80ffffff 02 --  0    21    18
80ffffffffffffff 01 --  1    01    38
8181818181818181 08 --  0    01    31
8181818181818181 08 --  0    09    31
8181818181818181 08 --  0    11    31
8181818181818181 08 --  0    19    31
8181818181818181 08 --  0    21    31
8181818181818181 08 --  0    29    31
8181818181818181 08 --  0    31    31
8181818181818181 08 --  0    39    31
81ff81ff81ff81ff 04 --  0    01    29
81ff81ff81ff81ff 04 --  0    11    29
81ff81ff81ff81ff 04 --  0    21    29
81ff81ff81ff81ff 04 --  0    31    29
81ffffff81ffffff 02 --  0    01    19
81ffffff81ffffff 02 --  0    21    19
81ffffffffffffff 01 --  1    01    39
8383838383838383 08 --  0    01    32
8383838383838383 08 --  0    09    32
8383838383838383 08 --  0    11    32
8383838383838383 08 --  0    19    32
8383838383838383 08 --  0    21    32
8383838383838383 08 --  0    29    32
8383838383838383 08 --  0    31    32
8383838383838383 08 --  0    39    32
83ff83ff83ff83ff 04 --  0    01    2a
83ff83ff83ff83ff 04 --  0    11    2a
83ff83ff83ff83ff 04 --  0    21    2a
83ff83ff83ff83ff 04 --  0    31    2a
83ffffff83ffffff 02 --  0    01    1a
83ffffff83ffffff 02 --  0    21    1a
83ffffffffffffff 01 --  1    01    3a
8787878787878787 08 --  0    01    33
8787878787878787 08 --  0    09    33
8787878787878787 08 --  0    11    33
8787878787878787 08 --  0    19    33
8787878787878787 08 --  0    21    33
8787878787878787 08 --  0    29    33
8787878787878787 08 --  0    31    33
8787878787878787 08 --  0    39    33
87ff87ff87ff87ff 04 --  0    01    2b
87ff87ff87ff87ff 04 --  0    11    2b
87ff87ff87ff87ff 04 --  0    21    2b
87ff87ff87ff87ff 04 --  0    31    2b
87ffffff87ffffff 02 --  0    01    1b
87ffffff87ffffff 02 --  0    21    1b
87ffffffffffffff 01 --  1    01    3b
8888888888888888 16 --  0    01    38
8888888888888888 16 --  0    05    38
8888888888888888 16 --  0    09    38
8888888888888888 16 --  0    0d    38
8888888888888888 16 --  0    11    38
8888888888888888 16 --  0    15    38
8888888888888888 16 --  0    19    38
8888888888888888 16 --  0    1d    38
8888888888888888 16 --  0    21    38
8888888888888888 16 --  0    25    38
8888888888888888 16 --  0    29    38
8888888888888888 16 --  0    2d    38
8888888888888888 16 --  0    31    38
8888888888888888 16 --  0    35    38
8888888888888888 16 --  0    39    38
8888888888888888 16 --  0    3d    38
8f8f8f8f8f8f8f8f 08 --  0    01    34
8f8f8f8f8f8f8f8f 08 --  0    09    34
8f8f8f8f8f8f8f8f 08 --  0    11    34
8f8f8f8f8f8f8f8f 08 --  0    19    34
8f8f8f8f8f8f8f8f 08 --  0    21    34
8f8f8f8f8f8f8f8f 08 --  0    29    34
8f8f8f8f8f8f8f8f 08 --  0    31    34
8f8f8f8f8f8f8f8f 08 --  0    39    34
8fff8fff8fff8fff 04 --  0    01    2c
8fff8fff8fff8fff 04 --  0    11    2c
8fff8fff8fff8fff 04 --  0    21    2c
8fff8fff8fff8fff 04 --  0    31    2c
8fffffff8fffffff 02 --  0    01    1c
8fffffff8fffffff 02 --  0    21    1c
8fffffffffffffff 01 --  1    01    3c
9999999999999999 16 --  0    01    39
9999999999999999 16 --  0    05    39
9999999999999999 16 --  0    09    39
9999999999999999 16 --  0    0d    39
9999999999999999 16 --  0    11    39
9999999999999999 16 --  0    15    39
9999999999999999 16 --  0    19    39
9999999999999999 16 --  0    1d    39
9999999999999999 16 --  0    21    39
9999999999999999 16 --  0    25    39
9999999999999999 16 --  0    29    39
9999999999999999 16 --  0    2d    39
9999999999999999 16 --  0    31    39
9999999999999999 16 --  0    35    39
9999999999999999 16 --  0    39    39
9999999999999999 16 --  0    3d    39
9f9f9f9f9f9f9f9f 08 --  0    01    35
9f9f9f9f9f9f9f9f 08 --  0    09    35
9f9f9f9f9f9f9f9f 08 --  0    11    35
9f9f9f9f9f9f9f9f 08 --  0    19    35
9f9f9f9f9f9f9f9f 08 --  0    21    35
9f9f9f9f9f9f9f9f 08 --  0    29    35
9f9f9f9f9f9f9f9f 08 --  0    31    35
9f9f9f9f9f9f9f9f 08 --  0    39    35
9fff9fff9fff9fff 04 --  0    01    2d
9fff9fff9fff9fff 04 --  0    11    2d
9fff9fff9fff9fff 04 --  0    21    2d
9fff9fff9fff9fff 04 --  0    31    2d
9fffffff9fffffff 02 --  0    01    1d
9fffffff9fffffff 02 --  0    21    1d
9fffffffffffffff 01 --  1    01    3d
aaaaaaaaaaaaaaaa 32 --  0    01    3c
aaaaaaaaaaaaaaaa 32 --  0    03    3c
aaaaaaaaaaaaaaaa 32 --  0    05    3c
aaaaaaaaaaaaaaaa 32 --  0    07    3c
aaaaaaaaaaaaaaaa 32 --  0    09    3c
aaaaaaaaaaaaaaaa 32 --  0    0b    3c
aaaaaaaaaaaaaaaa 32 --  0    0d    3c
aaaaaaaaaaaaaaaa 32 --  0    0f    3c
aaaaaaaaaaaaaaaa 32 --  0    11    3c
aaaaaaaaaaaaaaaa 32 --  0    13    3c
aaaaaaaaaaaaaaaa 32 --  0    15    3c
aaaaaaaaaaaaaaaa 32 --  0    17    3c
aaaaaaaaaaaaaaaa 32 --  0    19    3c
aaaaaaaaaaaaaaaa 32 --  0    1b    3c
aaaaaaaaaaaaaaaa 32 --  0    1d    3c
aaaaaaaaaaaaaaaa 32 --  0    1f    3c
aaaaaaaaaaaaaaaa 32 --  0    21    3c
aaaaaaaaaaaaaaaa 32 --  0    23    3c
aaaaaaaaaaaaaaaa 32 --  0    25    3c
aaaaaaaaaaaaaaaa 32 --  0    27    3c
aaaaaaaaaaaaaaaa 32 --  0    29    3c
aaaaaaaaaaaaaaaa 32 --  0    2b    3c
aaaaaaaaaaaaaaaa 32 --  0    2d    3c
aaaaaaaaaaaaaaaa 32 --  0    2f    3c
aaaaaaaaaaaaaaaa 32 --  0    31    3c
aaaaaaaaaaaaaaaa 32 --  0    33    3c
aaaaaaaaaaaaaaaa 32 --  0    35    3c
aaaaaaaaaaaaaaaa 32 --  0    37    3c
aaaaaaaaaaaaaaaa 32 --  0    39    3c
aaaaaaaaaaaaaaaa 32 --  0    3b    3c
aaaaaaaaaaaaaaaa 32 --  0    3d    3c
aaaaaaaaaaaaaaaa 32 --  0    3f    3c
bbbbbbbbbbbbbbbb 16 --  0    01    3a
bbbbbbbbbbbbbbbb 16 --  0    05    3a
bbbbbbbbbbbbbbbb 16 --  0    09    3a
bbbbbbbbbbbbbbbb 16 --  0    0d    3a
bbbbbbbbbbbbbbbb 16 --  0    11    3a
bbbbbbbbbbbbbbbb 16 --  0    15    3a
bbbbbbbbbbbbbbbb 16 --  0    19    3a
bbbbbbbbbbbbbbbb 16 --  0    1d    3a
bbbbbbbbbbbbbbbb 16 --  0    21    3a
bbbbbbbbbbbbbbbb 16 --  0    25    3a
bbbbbbbbbbbbbbbb 16 --  0    29    3a
bbbbbbbbbbbbbbbb 16 --  0    2d    3a
bbbbbbbbbbbbbbbb 16 --  0    31    3a
bbbbbbbbbbbbbbbb 16 --  0    35    3a
bbbbbbbbbbbbbbbb 16 --  0    39    3a
bbbbbbbbbbbbbbbb 16 --  0    3d    3a
bfbfbfbfbfbfbfbf 08 --  0    01    36
bfbfbfbfbfbfbfbf 08 --  0    09    36
bfbfbfbfbfbfbfbf 08 --  0    11    36
bfbfbfbfbfbfbfbf 08 --  0    19    36
bfbfbfbfbfbfbfbf 08 --  0    21    36
bfbfbfbfbfbfbfbf 08 --  0    29    36
bfbfbfbfbfbfbfbf 08 --  0    31    36
bfbfbfbfbfbfbfbf 08 --  0    39    36
bfffbfffbfffbfff 04 --  0    01    2e
bfffbfffbfffbfff 04 --  0    11    2e
bfffbfffbfffbfff 04 --  0    21    2e
bfffbfffbfffbfff 04 --  0    31    2e
bfffffffbfffffff 02 --  0    01    1e
bfffffffbfffffff 02 --  0    21    1e
bfffffffffffffff 01 --  1    01    3e
c000000000000000 01 --  1    02    01
c000000000000001 01 --  1    02    02
c000000000000003 01 --  1    02    03
c000000000000007 01 --  1    02    04
c00000000000000f 01 --  1    02    05
c00000000000001f 01 --  1    02    06
c00000000000003f 01 --  1    02    07
c00000000000007f 01 --  1    02    08
c0000000000000ff 01 --  1    02    09
c0000000000001ff 01 --  1    02    0a
c0000000000003ff 01 --  1    02    0b
c0000000000007ff 01 --  1    02    0c
c000000000000fff 01 --  1    02    0d
c000000000001fff 01 --  1    02    0e
c000000000003fff 01 --  1    02    0f
c000000000007fff 01 --  1    02    10
c00000000000ffff 01 --  1    02    11
c00000000001ffff 01 --  1    02    12
c00000000003ffff 01 --  1    02    13
c00000000007ffff 01 --  1    02    14
c0000000000fffff 01 --  1    02    15
c0000000001fffff 01 --  1    02    16
c0000000003fffff 01 --  1    02    17
c0000000007fffff 01 --  1    02    18
c000000000ffffff 01 --  1    02    19
c000000001ffffff 01 --  1    02    1a
c000000003ffffff 01 --  1    02    1b
c000000007ffffff 01 --  1    02    1c
c00000000fffffff 01 --  1    02    1d
c00000001fffffff 01 --  1    02    1e
c00000003fffffff 01 --  1    02    1f
c00000007fffffff 01 --  1    02    20
c0000000c0000000 02 --  0    02    01
c0000000c0000000 02 --  0    22    01
c0000000ffffffff 01 --  1    02    21
c0000001c0000001 02 --  0    02    02
c0000001c0000001 02 --  0    22    02
c0000001ffffffff 01 --  1    02    22
c0000003c0000003 02 --  0    02    03
c0000003c0000003 02 --  0    22    03
c0000003ffffffff 01 --  1    02    23
c0000007c0000007 02 --  0    02    04
c0000007c0000007 02 --  0    22    04
c0000007ffffffff 01 --  1    02    24
c000000fc000000f 02 --  0    02    05
c000000fc000000f 02 --  0    22    05
c000000fffffffff 01 --  1    02    25
c000001fc000001f 02 --  0    02    06
c000001fc000001f 02 --  0    22    06
c000001fffffffff 01 --  1    02    26
c000003fc000003f 02 --  0    02    07
c000003fc000003f 02 --  0    22    07
c000003fffffffff 01 --  1    02    27
c000007fc000007f 02 --  0    02    08
c000007fc000007f 02 --  0    22    08
c000007fffffffff 01 --  1    02    28
c00000ffc00000ff 02 --  0    02    09
c00000ffc00000ff 02 --  0    22    09
c00000ffffffffff 01 --  1    02    29
c00001ffc00001ff 02 --  0    02    0a
c00001ffc00001ff 02 --  0    22    0a
c00001ffffffffff 01 --  1    02    2a
c00003ffc00003ff 02 --  0    02    0b
c00003ffc00003ff 02 --  0    22    0b
c00003ffffffffff 01 --  1    02    2b
c00007ffc00007ff 02 --  0    02    0c
c00007ffc00007ff 02 --  0    22    0c
c00007ffffffffff 01 --  1    02    2c
c0000fffc0000fff 02 --  0    02    0d
c0000fffc0000fff 02 --  0    22    0d
c0000fffffffffff 01 --  1    02    2d
c0001fffc0001fff 02 --  0    02    0e
c0001fffc0001fff 02 --  0    22    0e
c0001fffffffffff 01 --  1    02    2e
c0003fffc0003fff 02 --  0    02    0f
c0003fffc0003fff 02 --  0    22    0f
c0003fffffffffff 01 --  1    02    2f
c0007fffc0007fff 02 --  0    02    10
c0007fffc0007fff 02 --  0    22    10
c0007fffffffffff 01 --  1    02    30
c000c000c000c000 04 --  0    02    21
c000c000c000c000 04 --  0    12    21
c000c000c000c000 04 --  0    22    21
c000c000c000c000 04 --  0    32    21
c000ffffc000ffff 02 --  0    02    11
c000ffffc000ffff 02 --  0    22    11
c000ffffffffffff 01 --  1    02    31
c001c001c001c001 04 --  0    02    22
c001c001c001c001 04 --  0    12    22
c001c001c001c001 04 --  0    22    22
c001c001c001c001 04 --  0    32    22
c001ffffc001ffff 02 --  0    02    12
c001ffffc001ffff 02 --  0    22    12
c001ffffffffffff 01 --  1    02    32
c003c003c003c003 04 --  0    02    23
c003c003c003c003 04 --  0    12    23
c003c003c003c003 04 --  0    22    23
c003c003c003c003 04 --  0    32    23
c003ffffc003ffff 02 --  0    02    13
c003ffffc003ffff 02 --  0    22    13
c003ffffffffffff 01 --  1    02    33
c007c007c007c007 04 --  0    02    24
c007c007c007c007 04 --  0    12    24
c007c007c007c007 04 --  0    22    24
c007c007c007c007 04 --  0    32    24
c007ffffc007ffff 02 --  0    02    14
c007ffffc007ffff 02 --  0    22    14
c007ffffffffffff 01 --  1    02    34
c00fc00fc00fc00f 04 --  0    02    25
c00fc00fc00fc00f 04 --  0    12    25
c00fc00fc00fc00f 04 --  0    22    25
c00fc00fc00fc00f 04 --  0    32    25
c00fffffc00fffff 02 --  0    02    15
c00fffffc00fffff 02 --  0    22    15
c00fffffffffffff 01 --  1    02    35
c01fc01fc01fc01f 04 --  0    02    26
c01fc01fc01fc01f 04 --  0    12    26
c01fc01fc01fc01f 04 --  0    22    26
c01fc01fc01fc01f 04 --  0    32    26
c01fffffc01fffff 02 --  0    02    16
c01fffffc01fffff 02 --  0    22    16
c01fffffffffffff 01 --  1    02    36
c03fc03fc03fc03f 04 --  0    02    27
c03fc03fc03fc03f 04 --  0    12    27
c03fc03fc03fc03f 04 --  0    22    27
c03fc03fc03fc03f 04 --  0    32    27
c03fffffc03fffff 02 --  0    02    17
c03fffffc03fffff 02 --  0    22    17
c03fffffffffffff 01 --  1    02    37
c07fc07fc07fc07f 04 --  0    02    28
c07fc07fc07fc07f 04 --  0    12    28
c07fc07fc07fc07f 04 --  0    22    28
c07fc07fc07fc07f 04 --  0    32    28
c07fffffc07fffff 02 --  0    02    18
c07fffffc07fffff 02 --  0    22    18
c07fffffffffffff 01 --  1    02    38
c0c0c0c0c0c0c0c0 08 --  0    02    31
c0c0c0c0c0c0c0c0 08 --  0    0a    31
c0c0c0c0c0c0c0c0 08 --  0    12    31
c0c0c0c0c0c0c0c0 08 --  0    1a    31
c0c0c0c0c0c0c0c0 08 --  0    22    31
c0c0c0c0c0c0c0c0 08 --  0    2a    31
c0c0c0c0c0c0c0c0 08 --  0    32    31
c0c0c0c0c0c0c0c0 08 --  0    3a    31
c0ffc0ffc0ffc0ff 04 --  0    02    29
c0ffc0ffc0ffc0ff 04 --  0    12    29
c0ffc0ffc0ffc0ff 04 --  0    22    29
c0ffc0ffc0ffc0ff 04 --  0    32    29
c0ffffffc0ffffff 02 --  0    02    19
c0ffffffc0ffffff 02 --  0    22    19
c0ffffffffffffff 01 --  1    02    39
c1c1c1c1c1c1c1c1 08 --  0    02    32
c1c1c1c1c1c1c1c1 08 --  0    0a    32
c1c1c1c1c1c1c1c1 08 --  0    12    32
c1c1c1c1c1c1c1c1 08 --  0    1a    32
c1c1c1c1c1c1c1c1 08 --  0    22    32
c1c1c1c1c1c1c1c1 08 --  0    2a    32
c1c1c1c1c1c1c1c1 08 --  0    32    32
c1c1c1c1c1c1c1c1 08 --  0    3a    32
c1ffc1ffc1ffc1ff 04 --  0    02    2a
c1ffc1ffc1ffc1ff 04 --  0    12    2a
c1ffc1ffc1ffc1ff 04 --  0    22    2a
c1ffc1ffc1ffc1ff 04 --  0    32    2a
c1ffffffc1ffffff 02 --  0    02    1a
c1ffffffc1ffffff 02 --  0    22    1a
c1ffffffffffffff 01 --  1    02    3a
c3c3c3c3c3c3c3c3 08 --  0    02    33
c3c3c3c3c3c3c3c3 08 --  0    0a    33
c3c3c3c3c3c3c3c3 08 --  0    12    33
c3c3c3c3c3c3c3c3 08 --  0    1a    33
c3c3c3c3c3c3c3c3 08 --  0    22    33
c3c3c3c3c3c3c3c3 08 --  0    2a    33
c3c3c3c3c3c3c3c3 08 --  0    32    33
